"Assembly Accession","Organism Name","Organism Common Name","Organism Taxonomic ID","class","order","family","genus","Assembly Release Date","Assembly Sequencing Tech","Assembly Stats Contig N50"
"GCA_027123545.1","Trisopterus esmarkii","Norway pout",80723,"Actinopteri","Gadiformes","Gadidae","Trisopterus","2022-12-20","Illumina",3455
"GCA_027122455.1","Trisopterus luscus",NA,27722,"Actinopteri","Gadiformes","Gadidae","Trisopterus","2022-12-20","Illumina",3016
"GCA_027122715.1","Trisopterus minutus","poor cod",80722,"Actinopteri","Gadiformes","Gadidae","Trisopterus","2022-12-20","Illumina",3779
"GCA_003227395.1","Tursiops aduncus","Indo-pacific bottlenose dolphin",79784,"Mammalia","Cetartiodactyla","Delphinidae","Tursiops","2018-06-14","Illumina HiSeq",206065
"GCF_011762595.1","Tursiops truncatus","common bottlenose dolphin",9739,"Mammalia","Cetartiodactyla","Delphinidae","Tursiops","2020-03-27","PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",9729386
"GCA_013401055.1","Uria aalge","common murre",13746,"Aves","Charadriiformes","Alcidae","Uria","2020-07-10","Illumina HiSeq",23216
"GCA_002289315.1","Uria lomvia","thick-billed guillemot",28711,"Aves","Charadriiformes","Alcidae","Uria","2017-09-11","Illumina HiSeq",24899
"GCA_027122555.1","Urophycis chuss","red hake",183656,"Actinopteri","Gadiformes","Phycidae","Urophycis","2022-12-20","Illumina",2299
"GCA_027123175.1","Urophycis cirrata","Gulf hake",458613,"Actinopteri","Gadiformes","Phycidae","Urophycis","2022-12-20","Illumina",3045
"GCA_027123135.1","Urophycis floridana","southern codling",630691,"Actinopteri","Gadiformes","Phycidae","Urophycis","2022-12-20","Illumina",3230
"GCA_027123015.1","Urophycis regia","spotted codling",630692,"Actinopteri","Gadiformes","Phycidae","Urophycis","2022-12-20","Illumina",1703
"GCF_017311325.1","Ursus maritimus","polar bear",29073,"Mammalia","Carnivora","Ursidae","Ursus","2021-03-09","Illumina HiSeq; Oxford Nanopore",206653
"GCA_026259375.1","Verasper variegatus","spotted halibut",82366,"Actinopteri","Pleuronectiformes","Pleuronectidae","Verasper","2022-11-23","PacBio Sequel",22761669
"GCA_943590875.1","Vomeridens infuscipinnis",NA,691752,"Actinopteri","Perciformes","Bathydraconidae","Vomeridens","2022-07-13",NA,3739
"GCF_018345385.1","Vulpes lagopus","Arctic fox",494514,"Mammalia","Carnivora","Canidae","Vulpes","2021-05-12","PacBio Sequel; Illumina NovaSeq",33460300
"GCA_014839995.1","Xenentodon cancila","freshwater garfish",129108,"Actinopteri","Beloniformes","Belonidae","Belone","2020-10-02","PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",2195850
"GCA_025774025.1","Xenus cinereus",NA,171277,"Aves","Charadriiformes","Scolopacidae","Xenus","2022-10-20","Illumina",22265
"GCF_016859285.1","Xiphias gladius","swordfish",8245,"Actinopteri","Carangiformes","Xiphiidae","Xiphias","2021-02-12","Oxford Nanopore GridION; Illumina HiSeq; Illumina",5252707
"GCF_009762305.2","Zalophus californianus","California sea lion",9704,"Mammalia","Carnivora","Otariidae","Zalophus","2020-07-14","PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS",32626160
"GCA_029814745.1","Zanclus cornutus","moorish idol",75044,"Actinopteri","Acanthuriformes","Zanclidae","Zanclus","2023-04-18","Illumina",3023
"GCA_028564865.1","Zenarchopterus dispar","feathered river-garfish",1311506,"Actinopteri","Beloniformes","Zenarchopteridae","Zenarchopterus","2023-02-09","Illumina",14430
"GCA_960531495.1","Zeus faber","John dory",64108,"Actinopteri","Zeiformes","Zeidae","Zeus","2023-07-26","PacBio,Arima2",1449431
"GCA_004364475.1","Ziphius cavirostris","Cuvier's beaked whale",9760,"Mammalia","Cetartiodactyla","Ziphiidae","Ziphius","2019-03-22","Illumina HiSeq",3606
